id,genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1u4qLLYs866O1PArVR5pPs,ambient,0.774,0.609,299040,0.366,0.951,1,0.219,-14.752,1,0.0532,75.008,3,0.491
1UYQz9iqSCdLNc9UVkJo0o,ambient,0.982,0.144,279560,0.079,0.898,10,0.402,-22.993,0,0.0363,65.63,4,0.247
6HZZZITAog9QIr8KpEAO66,ambient,0.613,0.187,332400,0.12,0.853,8,0.0707,-24.087,0,0.0444,71.19,4,0.0386
3EYY3nTXuPK2ALAaZoc8u3,ambient,0.958,0.137,282400,0.00746,0.932,6,0.0774,-32.135,1,0.0403,70.895,4,0.0867
6qMfOQUgjZLeKEi29BtN95,ambient,0.846,0.506,146987,0.206,0.948,7,0.114,-22.564,1,0.0512,112.967,4,0.0874
3JU3oDXq0VZKJz5DyMaHt5,ambient,0.958,0.218,152027,0.0439,0.855,2,0.0899,-27.38,0,0.0415,63.864,4,0.0362
5F0MqvSpxJABWwuxWtDkUf,ambient,0.96,0.549,361880,0.173,0.926,3,0.0902,-16.834,0,0.0286,100.004,4,0.0374
4BzmSQYR6wYkjG894IMfdd,ambient,0.869,0.233,254040,0.221,0.906,1,0.103,-19.039,1,0.0313,85.452,4,0.0879
565i055O62arjZp2Z3yJed,ambient,0.941,0.296,371480,0.082,0.944,2,0.11,-20.821,0,0.0361,100.062,4,0.031
5CTf9tHYmLsbu9v2hPZWlv,ambient,0.969,0.38,302813,0.0551,0.894,2,0.102,-22.997,0,0.0304,63.264,4,0.101
4z7rTkV7hxLkBntVJ9Cnqx,ambient,0.498,0.589,293320,0.0703,0.902,8,0.111,-29.619,1,0.0342,111.991,4,0.35
3qF9WLEnhK9cX5ol9sNut0,ambient,0.866,0.144,369120,0.174,0.95,0,0.137,-18.423,1,0.0399,74.149,1,0.0347
090bRxSmHfZK0HO0ZjYHfO,ambient,0.731,0.0734,467000,0.273,0.91,6,0.112,-19.013,1,0.0413,79.458,3,0.0386
66xvEOi8Z5NJXkscBGau5x,ambient,0.0652,0.44,556827,0.671,0.533,8,0.0786,-13.461,1,0.131,112.449,4,0.09
5R61VzSVJKU9b2a90iAfdG,ambient,0.995,0.197,452933,0.0189,0.878,5,0.0656,-32.83,1,0.0704,139.825,3,0.0338
0PGy1hV7iaBtzezPbhmvwh,ambient,0.865,0.602,366720,0.416,0.897,11,0.213,-16.208,1,0.0296,152.004,4,0.387
3e5sY6ni0ceTqqIZBJHH0d,ambient,0.84,0.38,345840,0.154,0.88,6,0.117,-18.023,0,0.0343,118.865,4,0.112
58iiRFUEID0N3FCVhbJc9y,ambient,0.902,0.0964,599213,0.199,0.968,4,0.421,-21.917,0,0.0397,203.286,4,0.08
1rBIWHLBPIZPFmLOyW1YEX,ambient,0.97,0.17,517587,0.264,0.946,5,0.106,-23.062,0,0.0428,141.221,4,0.0873
1g2cfEoZoA8qxMyZzihVO5,ambient,0.919,0.0626,373800,0.0907,0.966,8,0.0916,-27.14,1,0.035,59.214,4,0.0372
0c2lLKboWVC0z1OQs8EE5G,ambient,0.425,0.552,332867,0.531,0.767,11,0.27,-13.648,0,0.0517,150.876,4,0.0696
4PFcGrTYP3lP53jGEvk6X4,ambient,0.882,0.0656,414413,0.0859,0.93,10,0.0807,-25.035,1,0.0457,74.309,3,0.0383
1VleO9AmZZ3nvoeiVSErwp,ambient,0.907,0.0625,364173,0.157,0.955,11,0.156,-26.251,0,0.04,66.572,3,0.0399
2bP0fL0Ppfl6yOsbE1hDe4,ambient,0.904,0.16,435133,0.0848,0.946,6,0.106,-25.647,0,0.0444,131.214,4,0.0353
58CwzV6LPDkdx66EkT3kP8,ambient,0.957,0.472,387667,0.121,0.953,10,0.117,-16.091,0,0.0318,74.073,4,0.15
57Xvgypj0JSo0E5IvnKGgP,ambient,0.829,0.371,237360,0.0587,0.89,2,0.109,-27.743,0,0.032,97.594,4,0.117
0bM80pZWNBt8yGwwNID7mg,ambient,0.971,0.0718,497547,0.0409,0.943,1,0.125,-28.039,1,0.0454,75.282,4,0.033
4LrQBfb9zWOF5dwa1bhbF7,ambient,0.972,0.149,149800,0.0535,0.94,1,0.093,-25.007,1,0.0406,138.255,3,0.037
5V3z4lyBXJUBXcbv0ri0uI,ambient,0.956,0.147,300516,0.129,0.943,2,0.11,-29.213,1,0.0494,137.253,4,0.0333
7AiVr1RjTA0rZYtOvSyJO7,ambient,0.901,0.114,349747,0.136,0.726,10,0.0691,-19.698,1,0.0335,65.467,4,0.0383
4i9HAXzRTFi3kXV7fZzjzy,ambient,0.299,0.519,480507,0.566,0.873,1,0.387,-16.453,0,0.0865,106.992,4,0.4
00yMhNhN8PmZ5qa2AOX1VV,ambient,0.617,0.628,339667,0.536,0.94,2,0.1,-10.379,0,0.0483,137.001,4,0.642
6CbK9xi97zQ2dibY0lL4CD,ambient,0.668,0.559,546987,0.321,0.906,10,0.0953,-15.685,0,0.0396,121.871,5,0.0824
4HsV1WZygqFxpICdMnpRyR,ambient,0.958,0.0906,289800,0.0435,0.967,0,0.0991,-27.165,1,0.0406,86.093,3,0.0345
6RFZu2PlHvCeRcLwTNtp4f,ambient,0.943,0.27,305000,0.0391,0.934,9,0.111,-21.228,0,0.0631,93.132,4,0.25
09IwM1QOaauo6ce0I2JIv8,ambient,0.981,0.0833,360440,0.0944,0.953,6,0.0863,-21.767,1,0.0417,77.212,5,0.0299
0WLUAMAW1FsplcSNeTHzKg,ambient,0.874,0.372,429133,0.22,0.897,8,0.102,-29.105,1,0.0488,93.08,3,0.722
4Woy6O4fhgPqOSso4VNeCk,ambient,0.973,0.336,224013,0.0805,0.819,1,0.0677,-27.704,0,0.036,110.999,5,0.037
7qy7GDEDm1ZtCu3J9cLvgE,ambient,0.449,0.457,488347,0.24,0.909,9,0.0641,-18.111,1,0.0314,94.988,4,0.157
2JJ7qY2NCIQJPLjaedBX8L,ambient,0.514,0.396,372236,0.589,0.918,0,0.156,-14.657,1,0.0383,170.089,4,0.23
0lWCLlYBZb8n3lMwikWKXx,ambient,0.778,0.59,390267,0.524,0.827,0,0.109,-13.636,1,0.0371,119.989,4,0.686
406Akmkr1CGMcR1dskqUOn,ambient,0.767,0.44,578046,0.622,0.784,5,0.165,-15.247,1,0.0594,102.979,3,0.0395
6B2QRrVCFaWSwLi2lEtCD6,anime,0.26,0.653,213827,0.878,0.001,1,0.114,-3.292,1,0.0323,140.033,4,0.799
6Rb032212LB8L7FV8R5UAz,anime,0.0269,0.605,223064,0.825,0,10,0.855,-4.699,1,0.0948,124.05,4,0.567
4WofvMsOEXojShmMPmS2Qj,anime,0.0853,0.56,266751,0.999,6.54e-05,7,0.255,-2.625,0,0.325,147.981,4,0.234
4lvxofi0SOziS2NaQAfHLS,anime,0.00102,0.467,229027,0.973,0.0357,7,0.0528,-1.236,0,0.143,93.15,4,0.447
2qDWCy32Hrr2MIKg9cuo6t,anime,0.00196,0.362,249027,0.911,1.4e-05,4,0.431,-4.156,1,0.0754,172.813,4,0.659
2mhjgw4spAtlxo8BfcmDdC,anime,0.0872,0.601,188000,0.87,0.000468,11,0.102,-6.626,0,0.0441,122.094,4,0.329
7pG2P4DNICvZGPJbdA2kpu,anime,0.103,0.639,231000,0.802,0.000218,10,0.108,-4.608,0,0.0255,99.968,4,0.493
4Lx4KG3EWhd6n1t4Pw7i9z,anime,0.0237,0.682,225680,0.898,3.91e-05,10,0.0916,-4.979,0,0.0286,126.208,4,0.961
1RJfYFjh4rh1bxbSP5l729,anime,0.0835,0.518,205000,0.786,0,9,0.108,-8.603,0,0.1,89.963,4,0.865
16p1LBDPC6OuRSD30dEGV9,anime,0.0496,0.553,216500,0.869,0,5,0.282,-2.159,1,0.0403,128.068,4,0.772
4YCVTM9wDWe1WQRuF1cW8x,anime,0.00293,0.632,246440,0.84,7.53e-05,7,0.106,-3.727,1,0.0255,129.945,4,0.743
0KhHHPMzcN780HmlvzDRCR,anime,0.146,0.609,200347,0.58,7.38e-05,4,0.193,-12.646,0,0.0351,126.085,4,0.881
1zRrnEfk1h8mIiWazrTJC6,anime,0.0553,0.71,261474,0.76,4.23e-05,8,0.316,-5.733,0,0.033,127.955,4,0.548
6VW4mFSCVlLduDqCGXuP64,anime,0.0152,0.488,184000,0.941,0.0461,8,0.171,-4.212,0,0.0342,87.024,4,0.26
4RlpvN361ug5v7ouAvnSQP,anime,0.482,0.53,269800,0.467,4.67e-06,7,0.32,-8.319,1,0.0311,128.553,4,0.355
2LrWhgIQGXhaG1QqbkFdSV,anime,0.00396,0.391,227600,0.936,0,0,0.277,-4.818,0,0.0545,175.034,4,0.743
07qJLFVjHpfbzwi4ysmWps,anime,0.0134,0.65,249271,0.843,0,7,0.164,-3.959,1,0.0406,150.914,4,0.705
5QLanLFMyLzIxhVdI5lg6u,anime,0.0012,0.652,345078,0.714,0.817,1,0.622,-5.374,0,0.06,128.018,4,0.252
53ua2WOivvdDFSYDHbLKuv,anime,0.046,0.683,283080,0.603,0,9,0.114,-6.416,1,0.0412,113.038,4,0.607
3f8NyqLRuYE93JnVzKc3BZ,anime,0.14,0.531,339693,0.451,0,5,0.0716,-9.087,1,0.0289,117.96,3,0.158
3BPLP2tBpD5TzTFRWOaLp1,anime,0.000591,0.563,212747,0.861,0.0224,11,0.14,-7.173,1,0.0616,170.026,4,0.532
2ggxgjEv5tE9NjyraVsdpb,anime,0.144,0.586,260507,0.53,0.000864,9,0.102,-6.822,0,0.0266,98.898,4,0.235
1oT6GYV1pdJ3GR8cogA8yV,anime,0.000662,0.458,314973,0.997,0.00682,7,0.06,-2.607,1,0.0793,170.014,4,0.656
1PSCaGjMZsrRW92Oc5AGjr,anime,0.00234,0.474,273573,0.965,0.0176,2,0.409,-4.838,1,0.234,137.946,4,0.147
3mNIYFoSgLMwDgWuhc5RQF,anime,0.0113,0.571,267867,0.836,0.00955,9,0.13,-8.738,1,0.0309,126.009,4,0.647
5Kr2sXXWY3B0SXHLh7xmkK,anime,0.0483,0.593,257693,0.579,0.017,5,0.0933,-13.051,1,0.025,102.033,4,0.541
4ErC58wYkpVD8ajL0mGxMi,black-metal,0.000108,0.355,203293,0.828,0.302,6,0.16,-7.238,0,0.0487,125.981,4,0.18
5v3TSHYm8BzbON2u6QBEG7,black-metal,1.5e-06,0.295,425067,0.545,0.891,4,0.585,-9.214,0,0.0442,54.669,4,0.447
726h0Vj3qmYEDRvn9YCVez,black-metal,0.000379,0.429,266520,0.951,0.468,7,0.116,-4.971,1,0.0581,100.01,4,0.178
4ovk7UytJzIF4ULK6YsOsc,black-metal,1.77e-06,0.425,266307,0.997,0.276,9,0.0804,-4.66,0,0.135,125.068,4,0.0348
64Cj6SJnBY7WUdxlgh63mH,black-metal,0.00049,0.149,364218,0.859,0.825,10,0.7,-8.077,0,0.0851,144.706,4,0.0743
7oyDt4lbQWsIfISTRTLNBN,black-metal,5.79e-06,0.144,334533,0.994,0.148,11,0.0456,-4.55,0,0.14,140.798,4,0.0348
37mP8T1ze2oRGlUCAchbw1,black-metal,0.017,0.266,358600,1.0,0.474,4,0.4,-4.893,0,0.13,138.622,4,0.0214
65QDZOhHXZ3InvSzyCigNe,black-metal,0.000146,0.185,344627,0.933,0.779,6,0.176,-5.183,0,0.0576,84.007,4,0.184
1G1DZ3MwfAmKf4BS8Y3kJq,black-metal,5.75e-06,0.406,307874,0.966,0.0238,2,0.158,-3.245,1,0.0499,94.997,4,0.3
7tU55dZGSYI8GWAZhGYS5v,black-metal,1.58e-05,0.29,267560,0.866,0.00816,2,0.102,-3.468,1,0.0609,116.323,3,0.188
4vAeL2wWT1hiB5WEWhE1GC,black-metal,4.3e-05,0.217,483200,0.929,0.825,0,0.339,-5.462,0,0.0996,119.94,4,0.122
5vEcd0jbAAnUhuMzxokesp,black-metal,1.79e-05,0.132,220804,0.961,0.842,6,0.0736,-7.578,0,0.0805,163.734,4,0.158
2n5VZsfvwvoK4CRUqlxrhq,black-metal,0.00489,0.384,493600,0.981,0.797,8,0.266,-5.704,0,0.0536,102.257,4,0.142
2OKctLthAVAUajzVnZswd4,black-metal,2.06e-06,0.382,254720,0.815,0.000211,9,0.332,-12.561,1,0.0396,129.861,4,0.231
1TLvGC3HJVjBTLg8GJmYq0,black-metal,6.37e-06,0.372,380293,0.938,0.0533,11,0.0722,-3.324,0,0.0489,103.962,4,0.158
04X9rHdufZOZ9ahTb739kd,black-metal,9.2e-05,0.322,245000,0.968,0.218,7,0.33,-3.04,1,0.0912,119.783,4,0.0451
4NoSMNHe1PLujzrM63Cf6Y,black-metal,1.56e-06,0.298,475680,0.949,0.00512,9,0.105,-5.183,0,0.0399,101.339,4,0.256
2RMhFucnApp8AcsYNfH0jD,black-metal,7.22e-05,0.145,360840,0.95,0.851,0,0.194,-5.691,1,0.0833,104.018,4,0.0946
1o2i4QTH7FxWIVtaMamJxb,black-metal,5.11e-05,0.384,278453,0.987,0.909,10,0.285,-2.993,1,0.112,111.987,3,0.0568
